danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.663,0.925,9,-6.775,1,0.0449,0.00683,0.70300000,0.185,0.843,132.687,audio_features,3UPBOL5UtCZmJRwioMkfLD,spotify:track:3UPBOL5UtCZmJRwioMkfLD,https://api.spotify.com/v1/tracks/3UPBOL5UtCZmJRwioMkfLD,https://api.spotify.com/v1/audio-analysis/3UPBOL5UtCZmJRwioMkfLD,221160,4
0.661,0.847,7,-11.855,1,0.0349,0.225,0.83500000,0.0863,0.71,125.862,audio_features,0JXXm3RqxU8EKzX4P8M0n3,spotify:track:0JXXm3RqxU8EKzX4P8M0n3,https://api.spotify.com/v1/tracks/0JXXm3RqxU8EKzX4P8M0n3,https://api.spotify.com/v1/audio-analysis/0JXXm3RqxU8EKzX4P8M0n3,253573,4
0.767,0.869,9,-7.323,0,0.0334,0.111,0.06880000,0.0815,0.849,124.254,audio_features,6NLAzDPHSlV2bl7XbmivOq,spotify:track:6NLAzDPHSlV2bl7XbmivOq,https://api.spotify.com/v1/tracks/6NLAzDPHSlV2bl7XbmivOq,https://api.spotify.com/v1/audio-analysis/6NLAzDPHSlV2bl7XbmivOq,316138,4
0.701,0.868,11,-7.585,0,0.0287,0.0337,0.11400000,0.291,0.716,141.981,audio_features,1ZMrT3IGGyTCvZg4Ijuxzs,spotify:track:1ZMrT3IGGyTCvZg4Ijuxzs,https://api.spotify.com/v1/tracks/1ZMrT3IGGyTCvZg4Ijuxzs,https://api.spotify.com/v1/audio-analysis/1ZMrT3IGGyTCvZg4Ijuxzs,241067,4
0.637,0.878,7,-4.449,1,0.0302,0.0775,0.02270000,0.364,0.742,139.053,audio_features,0FkLMOUTkSTPSAYkIXQ579,spotify:track:0FkLMOUTkSTPSAYkIXQ579,https://api.spotify.com/v1/tracks/0FkLMOUTkSTPSAYkIXQ579,https://api.spotify.com/v1/audio-analysis/0FkLMOUTkSTPSAYkIXQ579,242053,4
0.694,0.936,6,-7.846,0,0.0301,0.0914,0.12900000,0.393,0.924,133.831,audio_features,6bXFXDYcwHiuvW1IDayCPA,spotify:track:6bXFXDYcwHiuvW1IDayCPA,https://api.spotify.com/v1/tracks/6bXFXDYcwHiuvW1IDayCPA,https://api.spotify.com/v1/audio-analysis/6bXFXDYcwHiuvW1IDayCPA,236667,4
0.852,0.864,2,-10.131,1,0.0387,0.0334,0.02390000,0.0525,0.603,132.999,audio_features,71Cid4UeolaHRzdbmMDAVb,spotify:track:71Cid4UeolaHRzdbmMDAVb,https://api.spotify.com/v1/tracks/71Cid4UeolaHRzdbmMDAVb,https://api.spotify.com/v1/audio-analysis/71Cid4UeolaHRzdbmMDAVb,226773,4
0.656,0.956,11,-5.647,0,0.0536,0.0784,0.02470000,0.0923,0.831,133.713,audio_features,1M3Im6Xjl0QUKbP9VAXxVf,spotify:track:1M3Im6Xjl0QUKbP9VAXxVf,https://api.spotify.com/v1/tracks/1M3Im6Xjl0QUKbP9VAXxVf,https://api.spotify.com/v1/audio-analysis/1M3Im6Xjl0QUKbP9VAXxVf,204587,4
0.729,0.936,9,-7.536,1,0.0776,0.0129,0.00089200,0.0367,0.598,131.986,audio_features,06hsdMbBxWGqBO0TV0Zrkf,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,https://api.spotify.com/v1/tracks/06hsdMbBxWGqBO0TV0Zrkf,https://api.spotify.com/v1/audio-analysis/06hsdMbBxWGqBO0TV0Zrkf,194000,4
0.574,0.883,0,-6.532,1,0.0339,0.000144,0.83900000,0.167,0.479,137.968,audio_features,557q3cfw95ChPhoupTVUUZ,spotify:track:557q3cfw95ChPhoupTVUUZ,https://api.spotify.com/v1/tracks/557q3cfw95ChPhoupTVUUZ,https://api.spotify.com/v1/audio-analysis/557q3cfw95ChPhoupTVUUZ,209804,4
0.712,0.785,5,-6.418,0,0.0386,0.00363,0.00000695,0.0878,0.975,117.643,audio_features,6wBMTv8yTiNh50fqTkT0JC,spotify:track:6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/tracks/6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/audio-analysis/6wBMTv8yTiNh50fqTkT0JC,247002,4
0.718,0.757,2,-11.869,1,0.0327,0.00925,0.10600000,0.0851,0.646,123.473,audio_features,5HvLxMeai31mM560lrIITQ,spotify:track:5HvLxMeai31mM560lrIITQ,https://api.spotify.com/v1/tracks/5HvLxMeai31mM560lrIITQ,https://api.spotify.com/v1/audio-analysis/5HvLxMeai31mM560lrIITQ,249533,4
0.688,0.782,5,-12.291,0,0.034,0.000235,0.66600000,0.0955,0.77,127.822,audio_features,4oUr6mgNSjQjyGs8kbXzU5,spotify:track:4oUr6mgNSjQjyGs8kbXzU5,https://api.spotify.com/v1/tracks/4oUr6mgNSjQjyGs8kbXzU5,https://api.spotify.com/v1/audio-analysis/4oUr6mgNSjQjyGs8kbXzU5,264307,4
0.526,0.978,11,-6.798,0,0.0471,0.142,0.98700000,0.11,0.62,136.079,audio_features,2kWB9IV8EHDOU9EjgxWFrF,spotify:track:2kWB9IV8EHDOU9EjgxWFrF,https://api.spotify.com/v1/tracks/2kWB9IV8EHDOU9EjgxWFrF,https://api.spotify.com/v1/audio-analysis/2kWB9IV8EHDOU9EjgxWFrF,226533,4
0.669,0.862,0,-11.395,0,0.0364,0.0654,0.01510000,0.359,0.818,139.975,audio_features,0tIqERCyX2ogv5Yn00kswb,spotify:track:0tIqERCyX2ogv5Yn00kswb,https://api.spotify.com/v1/tracks/0tIqERCyX2ogv5Yn00kswb,https://api.spotify.com/v1/audio-analysis/0tIqERCyX2ogv5Yn00kswb,225933,4
0.73,0.938,1,-8.788,1,0.0313,0.234,0.09230000,0.124,0.937,132.002,audio_features,3FgrXi0L9lkaFJlNy5NZ0k,spotify:track:3FgrXi0L9lkaFJlNy5NZ0k,https://api.spotify.com/v1/tracks/3FgrXi0L9lkaFJlNy5NZ0k,https://api.spotify.com/v1/audio-analysis/3FgrXi0L9lkaFJlNy5NZ0k,231093,4
0.705,0.866,8,-5.036,0,0.0563,0.171,0.00016200,0.645,0.816,127.986,audio_features,4cqiLvFRDuV8ClE61eMmZx,spotify:track:4cqiLvFRDuV8ClE61eMmZx,https://api.spotify.com/v1/tracks/4cqiLvFRDuV8ClE61eMmZx,https://api.spotify.com/v1/audio-analysis/4cqiLvFRDuV8ClE61eMmZx,351027,4
0.674,0.908,9,-3.262,0,0.0325,0.0714,0.00010400,0.121,0.861,127.985,audio_features,6YX75Ps2XsWn9dOzwbqmNV,spotify:track:6YX75Ps2XsWn9dOzwbqmNV,https://api.spotify.com/v1/tracks/6YX75Ps2XsWn9dOzwbqmNV,https://api.spotify.com/v1/audio-analysis/6YX75Ps2XsWn9dOzwbqmNV,238160,4
0.621,0.729,2,-11.71,0,0.0306,0.00508,0.00083400,0.335,0.467,134.966,audio_features,2pjj239FG6qY3tj6hhjxeC,spotify:track:2pjj239FG6qY3tj6hhjxeC,https://api.spotify.com/v1/tracks/2pjj239FG6qY3tj6hhjxeC,https://api.spotify.com/v1/audio-analysis/2pjj239FG6qY3tj6hhjxeC,255400,4
0.578,0.631,4,-11.93,0,0.0415,0.0156,0.48800000,0.0578,0.484,163.883,audio_features,0yx5eBLk3AGOH5EruCqLDx,spotify:track:0yx5eBLk3AGOH5EruCqLDx,https://api.spotify.com/v1/tracks/0yx5eBLk3AGOH5EruCqLDx,https://api.spotify.com/v1/audio-analysis/0yx5eBLk3AGOH5EruCqLDx,213240,4
0.597,0.892,9,-5.79,0,0.0284,0.00346,0.03170000,0.069,0.637,134.002,audio_features,0juz4iKEbAAKHfPzqgixRK,spotify:track:0juz4iKEbAAKHfPzqgixRK,https://api.spotify.com/v1/tracks/0juz4iKEbAAKHfPzqgixRK,https://api.spotify.com/v1/audio-analysis/0juz4iKEbAAKHfPzqgixRK,269707,4
0.693,0.826,6,-10.545,0,0.0316,0.011,0.00004870,0.121,0.923,137.879,audio_features,5FA90DipIi1TKifttlVKF1,spotify:track:5FA90DipIi1TKifttlVKF1,https://api.spotify.com/v1/tracks/5FA90DipIi1TKifttlVKF1,https://api.spotify.com/v1/audio-analysis/5FA90DipIi1TKifttlVKF1,237973,4
0.645,0.779,9,-10.529,0,0.0315,0.000165,0.21400000,0.0941,0.453,120.007,audio_features,4QAKfScH8kLJTbJqhb2jp2,spotify:track:4QAKfScH8kLJTbJqhb2jp2,https://api.spotify.com/v1/tracks/4QAKfScH8kLJTbJqhb2jp2,https://api.spotify.com/v1/audio-analysis/4QAKfScH8kLJTbJqhb2jp2,229573,4
0.64,0.951,2,-5.571,1,0.0335,0.000953,0.13400000,0.0934,0.838,136.984,audio_features,7FpkmUt2H3Mf9TVEGHkUpk,spotify:track:7FpkmUt2H3Mf9TVEGHkUpk,https://api.spotify.com/v1/tracks/7FpkmUt2H3Mf9TVEGHkUpk,https://api.spotify.com/v1/audio-analysis/7FpkmUt2H3Mf9TVEGHkUpk,194072,4
0.54,0.852,0,-5.501,1,0.0526,1.74E-05,0.37500000,0.473,0.214,129.969,audio_features,79yxhRPydB5Zs0fWh3QICm,spotify:track:79yxhRPydB5Zs0fWh3QICm,https://api.spotify.com/v1/tracks/79yxhRPydB5Zs0fWh3QICm,https://api.spotify.com/v1/audio-analysis/79yxhRPydB5Zs0fWh3QICm,221280,4
0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253000,0.109,0.607,129.878,audio_features,0Lg4ckCFjFUeyHOeSozcWS,spotify:track:0Lg4ckCFjFUeyHOeSozcWS,https://api.spotify.com/v1/tracks/0Lg4ckCFjFUeyHOeSozcWS,https://api.spotify.com/v1/audio-analysis/0Lg4ckCFjFUeyHOeSozcWS,222667,4
0.707,0.928,7,-6.181,0,0.0438,0.00397,0.23000000,0.285,0.969,136.027,audio_features,0yaWNizxPgPE9E0bD31mcS,spotify:track:0yaWNizxPgPE9E0bD31mcS,https://api.spotify.com/v1/tracks/0yaWNizxPgPE9E0bD31mcS,https://api.spotify.com/v1/audio-analysis/0yaWNizxPgPE9E0bD31mcS,243267,4
0.689,0.878,6,-8.052,0,0.0378,0.149,0.00000570,0.147,0.809,128.033,audio_features,7M2wk27EePpYr9TH3uZY1r,spotify:track:7M2wk27EePpYr9TH3uZY1r,https://api.spotify.com/v1/tracks/7M2wk27EePpYr9TH3uZY1r,https://api.spotify.com/v1/audio-analysis/7M2wk27EePpYr9TH3uZY1r,209014,4
0.74,0.946,0,-11.681,0,0.0353,0.0247,0.24200000,0.124,0.715,137.015,audio_features,6x6G0shZs4Qg4YLfLbhR7z,spotify:track:6x6G0shZs4Qg4YLfLbhR7z,https://api.spotify.com/v1/tracks/6x6G0shZs4Qg4YLfLbhR7z,https://api.spotify.com/v1/audio-analysis/6x6G0shZs4Qg4YLfLbhR7z,364400,4
0.625,0.917,9,-6.893,0,0.0396,0.0136,0.00338000,0.324,0.9,137.968,audio_features,44o1MQVbm8S827avRs4RHc,spotify:track:44o1MQVbm8S827avRs4RHc,https://api.spotify.com/v1/tracks/44o1MQVbm8S827avRs4RHc,https://api.spotify.com/v1/audio-analysis/44o1MQVbm8S827avRs4RHc,221840,4
0.577,0.872,10,-7.769,0,0.0457,0.00292,0.00827000,0.346,0.777,150.066,audio_features,7xR6hQnqYOjpBu343MRMqa,spotify:track:7xR6hQnqYOjpBu343MRMqa,https://api.spotify.com/v1/tracks/7xR6hQnqYOjpBu343MRMqa,https://api.spotify.com/v1/audio-analysis/7xR6hQnqYOjpBu343MRMqa,226933,4
0.537,0.85,7,-10.314,0,0.0712,0.0957,0.01230000,0.113,0.21,163.625,audio_features,4Q7fEjeCZgU8oxjbLWrm7L,spotify:track:4Q7fEjeCZgU8oxjbLWrm7L,https://api.spotify.com/v1/tracks/4Q7fEjeCZgU8oxjbLWrm7L,https://api.spotify.com/v1/audio-analysis/4Q7fEjeCZgU8oxjbLWrm7L,216333,4
0.631,0.85,0,-6.806,1,0.0436,0.00764,0.01550000,0.324,0.512,140.017,audio_features,0pXhsuk0u7vzOtBYdFkaAs,spotify:track:0pXhsuk0u7vzOtBYdFkaAs,https://api.spotify.com/v1/tracks/0pXhsuk0u7vzOtBYdFkaAs,https://api.spotify.com/v1/audio-analysis/0pXhsuk0u7vzOtBYdFkaAs,236693,4
0.611,0.991,7,-1.81,0,0.0413,0.0669,0.07820000,0.103,0.445,133.849,audio_features,26oBh1fvCfQ5ZaBAgwnLAw,spotify:track:26oBh1fvCfQ5ZaBAgwnLAw,https://api.spotify.com/v1/tracks/26oBh1fvCfQ5ZaBAgwnLAw,https://api.spotify.com/v1/audio-analysis/26oBh1fvCfQ5ZaBAgwnLAw,212560,4
0.671,0.882,8,-6.149,0,0.0552,0.00181,0.66700000,0.285,0.787,136.955,audio_features,5XVjNRubJUW0iPhhSWpLCj,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4
0.822,0.969,7,-11.471,0,0.0582,0.259,0.00015300,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4
0.704,0.861,2,-4.221,0,0.0493,0.587,0.06150000,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
